job_id,title,role_name,company,city,work_mode,experience_level,min_experience,max_experience,industry,salary_lpa,posted_date,skills,description
JG-001,Power BI Analyst,Power BI Analyst,BlueOrbit Analytics,New Delhi,On-site,Entry,0,2,Retail,7.2,2026-01-28,SQL|ETL|Power BI|Excel|Stakeholder Management|Power Query|Dashboarding|DAX,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes SQL, ETL, Power BI, Excel and strong reporting discipline."
JG-002,Business Intelligence Analyst,BI Analyst,NexaPulse,New Delhi,On-site,Entry,0,2,FinTech,5.9,2026-01-24,Stakeholder Management|Dashboarding|Python|Power BI|Excel|SQL,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes Stakeholder Management, Dashboarding, Python, Power BI and strong reporting discipline."
JG-003,Operations Reporting Analyst,Reporting Analyst,BlueOrbit Analytics,New Delhi,On-site,Entry,0,2,Healthcare,4.4,2026-03-02,Power Query|Tableau|SQL|Dashboarding|Power BI|Excel,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes Power Query, Tableau, SQL, Dashboarding and strong reporting discipline."
JG-004,Insights Analyst,Business Analyst,InsightForge,Mumbai,On-site,Entry,0,2,Healthcare,5.1,2026-03-05,A/B Testing|SQL|Communication|Stakeholder Management|Excel|Dashboarding,"Support business teams in Mumbai by turning raw operational data into decision-ready insights. The role emphasizes A/B Testing, SQL, Communication, Stakeholder Management and strong reporting discipline."
JG-005,Power BI Analyst,Power BI Analyst,MetricHive,Noida,Remote,Senior,5,8,Retail,12.1,2026-01-14,Excel|Power Query|Dashboarding|SQL|DAX|Data Modeling|Power BI,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Excel, Power Query, Dashboarding, SQL and strong reporting discipline."
JG-006,BI Analyst,BI Analyst,DataNook Consulting,Mumbai,Hybrid,Entry,0,2,E-commerce,5.8,2026-02-12,Power BI|Excel|SQL|Dashboarding|Tableau|Communication,"Support business teams in Mumbai by turning raw operational data into decision-ready insights. The role emphasizes Power BI, Excel, SQL, Dashboarding and strong reporting discipline."
JG-007,BI Analyst,BI Analyst,SignalCraft,Pune,On-site,Entry,0,2,Healthcare,6.0,2026-02-23,Excel|Data Modeling|SQL|Stakeholder Management|ETL|Power BI|DAX|Dashboarding,"Support business teams in Pune by turning raw operational data into decision-ready insights. The role emphasizes Excel, Data Modeling, SQL, Stakeholder Management and strong reporting discipline."
JG-008,Data Analyst - Reporting,Data Analyst,NexaPulse,New Delhi,On-site,Entry,0,2,Logistics,4.6,2026-03-11,A/B Testing|Python|Data Cleaning|Communication|Dashboarding|Statistics|SQL|Excel,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes A/B Testing, Python, Data Cleaning, Communication and strong reporting discipline."
JG-009,BI Analyst,BI Analyst,HelioMetrics,Gurugram,Remote,Entry,0,2,Logistics,5.3,2026-02-18,Excel|Stakeholder Management|SQL|Communication|Python|Power BI|Dashboarding,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes Excel, Stakeholder Management, SQL, Communication and strong reporting discipline."
JG-010,BI Analyst,BI Analyst,HelioMetrics,Mumbai,Hybrid,Mid,2,5,FinTech,6.7,2026-03-08,Communication|Python|Excel|SQL|Power BI|Dashboarding|DAX|ETL,"Support business teams in Mumbai by turning raw operational data into decision-ready insights. The role emphasizes Communication, Python, Excel, SQL and strong reporting discipline."
JG-011,Junior Data Analyst,Data Analyst,BrightLane Logistics,Gurugram,Remote,Senior,5,8,Healthcare,9.3,2026-03-03,SQL|Power BI|Dashboarding|Excel|ETL|Communication,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes SQL, Power BI, Dashboarding, Excel and strong reporting discipline."
JG-012,Power BI Analyst,Power BI Analyst,BlueOrbit Analytics,Gurugram,Hybrid,Entry,0,2,Retail,6.2,2026-01-28,DAX|Power Query|Stakeholder Management|Power BI|Data Modeling|SQL|Dashboarding,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes DAX, Power Query, Stakeholder Management, Power BI and strong reporting discipline."
JG-013,Data Analyst,Data Analyst,MetricHive,Noida,Remote,Entry,0,2,E-commerce,4.6,2026-02-06,Python|Power BI|A/B Testing|Data Cleaning|SQL|Dashboarding,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Python, Power BI, A/B Testing, Data Cleaning and strong reporting discipline."
JG-014,Reporting Analyst,Reporting Analyst,Acumen Retail,Noida,Remote,Senior,5,8,Retail,8.5,2026-02-27,Data Cleaning|Communication|Excel|Tableau|SQL|Power BI,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Data Cleaning, Communication, Excel, Tableau and strong reporting discipline."
JG-015,Business Intelligence Analyst,BI Analyst,UrbanCart,Mumbai,Hybrid,Entry,0,2,Logistics,5.3,2026-02-19,SQL|Power BI|Dashboarding|ETL|Excel|Communication,"Support business teams in Mumbai by turning raw operational data into decision-ready insights. The role emphasizes SQL, Power BI, Dashboarding, ETL and strong reporting discipline."
JG-016,Reporting Analyst - Power BI,Power BI Analyst,Verity Health,Bengaluru,On-site,Senior,5,8,Consulting,11.8,2026-01-10,ETL|Power Query|Power BI|Dashboarding|Data Modeling|Excel|Stakeholder Management|SQL,"Support business teams in Bengaluru by turning raw operational data into decision-ready insights. The role emphasizes ETL, Power Query, Power BI, Dashboarding and strong reporting discipline."
JG-017,Data Analyst - Reporting,Data Analyst,BlueOrbit Analytics,Gurugram,On-site,Senior,5,8,E-commerce,10.0,2026-01-24,A/B Testing|Power BI|SQL|Data Cleaning|Dashboarding|Communication|Excel,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes A/B Testing, Power BI, SQL, Data Cleaning and strong reporting discipline."
JG-018,Data Analyst - Reporting,Data Analyst,ScalePoint,New Delhi,Hybrid,Senior,5,8,EdTech,9.6,2026-01-26,Stakeholder Management|SQL|ETL|Power BI|Excel|Data Cleaning|Communication,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes Stakeholder Management, SQL, ETL, Power BI and strong reporting discipline."
